eps (accuracy)
  1.000000e-06
hn (ini.step size)
  1.000000e-07
       A             xsi             g       
  4.000000e-03   1.000000e+00   9.810000e+00
       hc      
  4.222125e-01
      h[m]           x[m]         lambda_1[m/s]  lambda_2[m/s]  lambda_3[m/s]         U[m/s]          B[m]     
  7.830000e-01  -2.064124e+00      3.502581e+00  -2.064124e+00   6.137316e-03      7.222968e-01  -6.522984e-04  
  7.820000e-01  -2.058979e+00      3.504453e+00  -2.058979e+00   6.240711e-03      7.258567e-01  -6.631630e-04  
  7.810000e-01  -2.053833e+00      3.506326e+00  -2.053833e+00   6.345501e-03      7.294191e-01  -6.741699e-04  
  7.800000e-01  -2.048684e+00      3.508202e+00  -2.048684e+00   6.451701e-03      7.329841e-01  -6.853207e-04  
  7.790000e-01  -2.043534e+00      3.510079e+00  -2.043534e+00   6.559327e-03      7.365516e-01  -6.966169e-04  
  7.780000e-01  -2.038382e+00      3.511958e+00  -2.038382e+00   6.668395e-03      7.401217e-01  -7.080601e-04  
  7.770000e-01  -2.033228e+00      3.513838e+00  -2.033228e+00   6.778922e-03      7.436943e-01  -7.196518e-04  
  7.760000e-01  -2.028072e+00      3.515721e+00  -2.028072e+00   6.890925e-03      7.472695e-01  -7.313936e-04  
  7.750000e-01  -2.022914e+00      3.517605e+00  -2.022914e+00   7.004419e-03      7.508472e-01  -7.432870e-04  
  7.740000e-01  -2.017755e+00      3.519492e+00  -2.017755e+00   7.119422e-03      7.544276e-01  -7.553337e-04  
  7.730000e-01  -2.012594e+00      3.521380e+00  -2.012594e+00   7.235951e-03      7.580105e-01  -7.675353e-04  
  7.720000e-01  -2.007431e+00      3.523270e+00  -2.007431e+00   7.354024e-03      7.615960e-01  -7.798934e-04  
  7.710000e-01  -2.002266e+00      3.525161e+00  -2.002266e+00   7.473657e-03      7.651841e-01  -7.924096e-04  
  7.700000e-01  -1.997099e+00      3.527055e+00  -1.997099e+00   7.594869e-03      7.687749e-01  -8.050857e-04  
  7.690000e-01  -1.991931e+00      3.528951e+00  -1.991931e+00   7.717677e-03      7.723682e-01  -8.179233e-04  
  7.680000e-01  -1.986761e+00      3.530848e+00  -1.986761e+00   7.842100e-03      7.759642e-01  -8.309241e-04  
  7.670000e-01  -1.981589e+00      3.532747e+00  -1.981589e+00   7.968156e-03      7.795628e-01  -8.440898e-04  
  7.660000e-01  -1.976415e+00      3.534648e+00  -1.976415e+00   8.095863e-03      7.831641e-01  -8.574222e-04  
  7.650000e-01  -1.971240e+00      3.536551e+00  -1.971240e+00   8.225241e-03      7.867680e-01  -8.709231e-04  
  7.640000e-01  -1.966062e+00      3.538456e+00  -1.966062e+00   8.356308e-03      7.903746e-01  -8.845941e-04  
  7.630000e-01  -1.960883e+00      3.540363e+00  -1.960883e+00   8.489083e-03      7.939838e-01  -8.984372e-04  
  7.620000e-01  -1.955703e+00      3.542272e+00  -1.955703e+00   8.623586e-03      7.975957e-01  -9.124540e-04  
  7.610000e-01  -1.950521e+00      3.544182e+00  -1.950521e+00   8.759837e-03      8.012103e-01  -9.266465e-04  
  7.600000e-01  -1.945337e+00      3.546095e+00  -1.945337e+00   8.897855e-03      8.048276e-01  -9.410164e-04  
  7.590000e-01  -1.940151e+00      3.548009e+00  -1.940151e+00   9.037661e-03      8.084476e-01  -9.555657e-04  
  7.580000e-01  -1.934963e+00      3.549926e+00  -1.934963e+00   9.179275e-03      8.120703e-01  -9.702963e-04  
  7.570000e-01  -1.929774e+00      3.551844e+00  -1.929774e+00   9.322718e-03      8.156957e-01  -9.852100e-04  
  7.560000e-01  -1.924584e+00      3.553764e+00  -1.924584e+00   9.468010e-03      8.193239e-01  -1.000309e-03  
  7.550000e-01  -1.919391e+00      3.555687e+00  -1.919391e+00   9.615173e-03      8.229547e-01  -1.015595e-03  
  7.540000e-01  -1.914197e+00      3.557611e+00  -1.914197e+00   9.764228e-03      8.265883e-01  -1.031069e-03  
  7.530000e-01  -1.909002e+00      3.559537e+00  -1.909002e+00   9.915197e-03      8.302247e-01  -1.046735e-03  
  7.520000e-01  -1.903805e+00      3.561465e+00  -1.903805e+00   1.006810e-02      8.338639e-01  -1.062594e-03  
  7.510000e-01  -1.898606e+00      3.563395e+00  -1.898606e+00   1.022296e-02      8.375058e-01  -1.078648e-03  
  7.500000e-01  -1.893405e+00      3.565327e+00  -1.893405e+00   1.037981e-02      8.411504e-01  -1.094898e-03  
  7.490000e-01  -1.888203e+00      3.567262e+00  -1.888203e+00   1.053865e-02      8.447979e-01  -1.111348e-03  
  7.480000e-01  -1.883000e+00      3.569198e+00  -1.883000e+00   1.069952e-02      8.484482e-01  -1.128000e-03  
  7.470000e-01  -1.877795e+00      3.571136e+00  -1.877795e+00   1.086244e-02      8.521012e-01  -1.144854e-03  
  7.460000e-01  -1.872588e+00      3.573076e+00  -1.872588e+00   1.102744e-02      8.557571e-01  -1.161914e-03  
  7.450000e-01  -1.867380e+00      3.575018e+00  -1.867380e+00   1.119453e-02      8.594159e-01  -1.179182e-03  
  7.440000e-01  -1.862170e+00      3.576962e+00  -1.862170e+00   1.136374e-02      8.630774e-01  -1.196660e-03  
  7.430000e-01  -1.856959e+00      3.578909e+00  -1.856959e+00   1.153510e-02      8.667418e-01  -1.214350e-03  
  7.420000e-01  -1.851746e+00      3.580857e+00  -1.851746e+00   1.170862e-02      8.704090e-01  -1.232254e-03  
  7.410000e-01  -1.846532e+00      3.582807e+00  -1.846532e+00   1.188434e-02      8.740791e-01  -1.250375e-03  
  7.400000e-01  -1.841317e+00      3.584760e+00  -1.841317e+00   1.206229e-02      8.777521e-01  -1.268715e-03  
  7.390000e-01  -1.836100e+00      3.586714e+00  -1.836100e+00   1.224247e-02      8.814280e-01  -1.287275e-03  
  7.380000e-01  -1.830881e+00      3.588671e+00  -1.830881e+00   1.242493e-02      8.851067e-01  -1.306060e-03  
  7.370000e-01  -1.825661e+00      3.590629e+00  -1.825661e+00   1.260969e-02      8.887884e-01  -1.325070e-03  
  7.360000e-01  -1.820440e+00      3.592590e+00  -1.820440e+00   1.279678e-02      8.924729e-01  -1.344309e-03  
  7.350000e-01  -1.815217e+00      3.594553e+00  -1.815217e+00   1.298621e-02      8.961604e-01  -1.363778e-03  
  7.340000e-01  -1.809993e+00      3.596518e+00  -1.809993e+00   1.317803e-02      8.998508e-01  -1.383481e-03  
  7.330000e-01  -1.804768e+00      3.598485e+00  -1.804768e+00   1.337225e-02      9.035442e-01  -1.403419e-03  
  7.320000e-01  -1.799541e+00      3.600454e+00  -1.799541e+00   1.356891e-02      9.072405e-01  -1.423595e-03  
  7.310000e-01  -1.794313e+00      3.602425e+00  -1.794313e+00   1.376803e-02      9.109398e-01  -1.444012e-03  
  7.300000e-01  -1.789083e+00      3.604399e+00  -1.789083e+00   1.396964e-02      9.146420e-01  -1.464672e-03  
  7.290000e-01  -1.783853e+00      3.606374e+00  -1.783853e+00   1.417377e-02      9.183473e-01  -1.485578e-03  
  7.280000e-01  -1.778621e+00      3.608352e+00  -1.778621e+00   1.438046e-02      9.220555e-01  -1.506732e-03  
  7.270000e-01  -1.773387e+00      3.610332e+00  -1.773387e+00   1.458972e-02      9.257667e-01  -1.528138e-03  
  7.260000e-01  -1.768153e+00      3.612314e+00  -1.768153e+00   1.480160e-02      9.294809e-01  -1.549797e-03  
  7.250000e-01  -1.762917e+00      3.614298e+00  -1.762917e+00   1.501612e-02      9.331982e-01  -1.571713e-03  
  7.240000e-01  -1.757680e+00      3.616285e+00  -1.757680e+00   1.523331e-02      9.369185e-01  -1.593887e-03  
  7.230000e-01  -1.752442e+00      3.618273e+00  -1.752442e+00   1.545320e-02      9.406418e-01  -1.616324e-03  
  7.220000e-01  -1.747203e+00      3.620264e+00  -1.747203e+00   1.567583e-02      9.443682e-01  -1.639026e-03  
  7.210000e-01  -1.741962e+00      3.622257e+00  -1.741962e+00   1.590123e-02      9.480977e-01  -1.661995e-03  
  7.200000e-01  -1.736721e+00      3.624253e+00  -1.736721e+00   1.612943e-02      9.518303e-01  -1.685234e-03  
  7.190000e-01  -1.731478e+00      3.626250e+00  -1.731478e+00   1.636046e-02      9.555659e-01  -1.708747e-03  
  7.180000e-01  -1.726234e+00      3.628250e+00  -1.726234e+00   1.659436e-02      9.593047e-01  -1.732536e-03  
  7.170000e-01  -1.720989e+00      3.630252e+00  -1.720989e+00   1.683116e-02      9.630465e-01  -1.756604e-03  
  7.160000e-01  -1.715744e+00      3.632257e+00  -1.715744e+00   1.707089e-02      9.667915e-01  -1.780954e-03  
  7.150000e-01  -1.710497e+00      3.634263e+00  -1.710497e+00   1.731360e-02      9.705397e-01  -1.805590e-03  
  7.140000e-01  -1.705249e+00      3.636272e+00  -1.705249e+00   1.755931e-02      9.742909e-01  -1.830514e-03  
  7.130000e-01  -1.700000e+00      3.638283e+00  -1.700000e+00   1.780806e-02      9.780454e-01  -1.855729e-03  
  7.120000e-01  -1.694750e+00      3.640297e+00  -1.694750e+00   1.805989e-02      9.818030e-01  -1.881239e-03  
  7.110000e-01  -1.689499e+00      3.642313e+00  -1.689499e+00   1.831484e-02      9.855638e-01  -1.907047e-03  
  7.100000e-01  -1.684247e+00      3.644331e+00  -1.684247e+00   1.857293e-02      9.893278e-01  -1.933155e-03  
  7.090000e-01  -1.678995e+00      3.646351e+00  -1.678995e+00   1.883422e-02      9.930950e-01  -1.959568e-03  
  7.080000e-01  -1.673741e+00      3.648374e+00  -1.673741e+00   1.909873e-02      9.968654e-01  -1.986288e-03  
  7.070000e-01  -1.668487e+00      3.650399e+00  -1.668487e+00   1.936651e-02      1.000639e+00  -2.013319e-03  
  7.060000e-01  -1.663232e+00      3.652427e+00  -1.663232e+00   1.963759e-02      1.004416e+00  -2.040664e-03  
  7.050000e-01  -1.657976e+00      3.654457e+00  -1.657976e+00   1.991202e-02      1.008196e+00  -2.068327e-03  
  7.040000e-01  -1.652719e+00      3.656489e+00  -1.652719e+00   2.018984e-02      1.011980e+00  -2.096311e-03  
  7.030000e-01  -1.647462e+00      3.658524e+00  -1.647462e+00   2.047107e-02      1.015766e+00  -2.124619e-03  
  7.020000e-01  -1.642203e+00      3.660561e+00  -1.642203e+00   2.075578e-02      1.019556e+00  -2.153255e-03  
  7.010000e-01  -1.636944e+00      3.662601e+00  -1.636944e+00   2.104400e-02      1.023350e+00  -2.182223e-03  
  7.000000e-01  -1.631685e+00      3.664643e+00  -1.631685e+00   2.133576e-02      1.027146e+00  -2.211526e-03  
  6.990000e-01  -1.626425e+00      3.666687e+00  -1.626425e+00   2.163113e-02      1.030946e+00  -2.241168e-03  
  6.980000e-01  -1.621164e+00      3.668734e+00  -1.621164e+00   2.193013e-02      1.034750e+00  -2.271152e-03  
  6.970000e-01  -1.615902e+00      3.670783e+00  -1.615902e+00   2.223281e-02      1.038556e+00  -2.301483e-03  
  6.960000e-01  -1.610641e+00      3.672835e+00  -1.610641e+00   2.253922e-02      1.042367e+00  -2.332164e-03  
  6.950000e-01  -1.605378e+00      3.674890e+00  -1.605378e+00   2.284940e-02      1.046180e+00  -2.363199e-03  
  6.940000e-01  -1.600115e+00      3.676946e+00  -1.600115e+00   2.316340e-02      1.049997e+00  -2.394592e-03  
  6.930000e-01  -1.594852e+00      3.679006e+00  -1.594852e+00   2.348127e-02      1.053817e+00  -2.426347e-03  
  6.920000e-01  -1.589588e+00      3.681068e+00  -1.589588e+00   2.380305e-02      1.057641e+00  -2.458467e-03  
  6.910000e-01  -1.584324e+00      3.683132e+00  -1.584324e+00   2.412879e-02      1.061468e+00  -2.490957e-03  
  6.900000e-01  -1.579059e+00      3.685199e+00  -1.579059e+00   2.445853e-02      1.065299e+00  -2.523821e-03  
  6.890000e-01  -1.573794e+00      3.687268e+00  -1.573794e+00   2.479234e-02      1.069133e+00  -2.557063e-03  
  6.880000e-01  -1.568529e+00      3.689341e+00  -1.568529e+00   2.513026e-02      1.072971e+00  -2.590687e-03  
  6.870000e-01  -1.563263e+00      3.691415e+00  -1.563263e+00   2.547233e-02      1.076812e+00  -2.624698e-03  
  6.860000e-01  -1.557997e+00      3.693493e+00  -1.557997e+00   2.581862e-02      1.080656e+00  -2.659099e-03  
  6.850000e-01  -1.552731e+00      3.695572e+00  -1.552731e+00   2.616916e-02      1.084505e+00  -2.693896e-03  
  6.840000e-01  -1.547465e+00      3.697655e+00  -1.547465e+00   2.652403e-02      1.088356e+00  -2.729092e-03  
  6.830000e-01  -1.542199e+00      3.699740e+00  -1.542199e+00   2.688326e-02      1.092212e+00  -2.764691e-03  
  6.820000e-01  -1.536933e+00      3.701828e+00  -1.536933e+00   2.724691e-02      1.096071e+00  -2.800700e-03  
  6.810000e-01  -1.531666e+00      3.703918e+00  -1.531666e+00   2.761504e-02      1.099933e+00  -2.837121e-03  
  6.800000e-01  -1.526400e+00      3.706012e+00  -1.526400e+00   2.798771e-02      1.103799e+00  -2.873959e-03  
  6.790000e-01  -1.521133e+00      3.708107e+00  -1.521133e+00   2.836496e-02      1.107669e+00  -2.911220e-03  
  6.780000e-01  -1.515867e+00      3.710206e+00  -1.515867e+00   2.874687e-02      1.111542e+00  -2.948908e-03  
  6.770000e-01  -1.510601e+00      3.712307e+00  -1.510601e+00   2.913347e-02      1.115420e+00  -2.987028e-03  
  6.760000e-01  -1.505335e+00      3.714411e+00  -1.505335e+00   2.952485e-02      1.119300e+00  -3.025585e-03  
  6.750000e-01  -1.500069e+00      3.716518e+00  -1.500069e+00   2.992105e-02      1.123185e+00  -3.064583e-03  
  6.740000e-01  -1.494803e+00      3.718628e+00  -1.494803e+00   3.032213e-02      1.127073e+00  -3.104027e-03  
  6.730000e-01  -1.489538e+00      3.720740e+00  -1.489538e+00   3.072816e-02      1.130965e+00  -3.143924e-03  
  6.720000e-01  -1.484272e+00      3.722855e+00  -1.484272e+00   3.113920e-02      1.134860e+00  -3.184277e-03  
  6.710000e-01  -1.479008e+00      3.724973e+00  -1.479008e+00   3.155531e-02      1.138760e+00  -3.225092e-03  
  6.700000e-01  -1.473743e+00      3.727094e+00  -1.473743e+00   3.197655e-02      1.142663e+00  -3.266374e-03  
  6.690000e-01  -1.468479e+00      3.729217e+00  -1.468479e+00   3.240300e-02      1.146570e+00  -3.308128e-03  
  6.680000e-01  -1.463216e+00      3.731344e+00  -1.463216e+00   3.283471e-02      1.150481e+00  -3.350361e-03  
  6.670000e-01  -1.457953e+00      3.733473e+00  -1.457953e+00   3.327176e-02      1.154395e+00  -3.393076e-03  
  6.660000e-01  -1.452691e+00      3.735605e+00  -1.452691e+00   3.371421e-02      1.158314e+00  -3.436281e-03  
  6.650000e-01  -1.447429e+00      3.737740e+00  -1.447429e+00   3.416213e-02      1.162236e+00  -3.479980e-03  
  6.640000e-01  -1.442168e+00      3.739878e+00  -1.442168e+00   3.461559e-02      1.166163e+00  -3.524179e-03  
  6.630000e-01  -1.436907e+00      3.742019e+00  -1.436907e+00   3.507467e-02      1.170093e+00  -3.568884e-03  
  6.620000e-01  -1.431648e+00      3.744163e+00  -1.431648e+00   3.553942e-02      1.174027e+00  -3.614101e-03  
  6.610000e-01  -1.426389e+00      3.746310e+00  -1.426389e+00   3.600993e-02      1.177965e+00  -3.659835e-03  
  6.600000e-01  -1.421131e+00      3.748460e+00  -1.421131e+00   3.648627e-02      1.181907e+00  -3.706092e-03  
  6.590000e-01  -1.415875e+00      3.750613e+00  -1.415875e+00   3.696852e-02      1.185853e+00  -3.752880e-03  
  6.580000e-01  -1.410619e+00      3.752768e+00  -1.410619e+00   3.745674e-02      1.189803e+00  -3.800203e-03  
  6.570000e-01  -1.405364e+00      3.754927e+00  -1.405364e+00   3.795102e-02      1.193757e+00  -3.848068e-03  
  6.560000e-01  -1.400110e+00      3.757089e+00  -1.400110e+00   3.845144e-02      1.197715e+00  -3.896481e-03  
  6.550000e-01  -1.394857e+00      3.759254e+00  -1.394857e+00   3.895808e-02      1.201677e+00  -3.945449e-03  
  6.540000e-01  -1.389606e+00      3.761423e+00  -1.389606e+00   3.947101e-02      1.205643e+00  -3.994978e-03  
  6.530000e-01  -1.384356e+00      3.763594e+00  -1.384356e+00   3.999031e-02      1.209614e+00  -4.045075e-03  
  6.520000e-01  -1.379107e+00      3.765768e+00  -1.379107e+00   4.051608e-02      1.213588e+00  -4.095746e-03  
  6.510000e-01  -1.373860e+00      3.767946e+00  -1.373860e+00   4.104839e-02      1.217567e+00  -4.146998e-03  
  6.500000e-01  -1.368614e+00      3.770126e+00  -1.368614e+00   4.158733e-02      1.221549e+00  -4.198838e-03  
  6.490000e-01  -1.363370e+00      3.772310e+00  -1.363370e+00   4.213298e-02      1.225536e+00  -4.251273e-03  
  6.480000e-01  -1.358127e+00      3.774497e+00  -1.358127e+00   4.268544e-02      1.229528e+00  -4.304309e-03  
  6.470000e-01  -1.352886e+00      3.776688e+00  -1.352886e+00   4.324479e-02      1.233523e+00  -4.357955e-03  
  6.460000e-01  -1.347646e+00      3.778881e+00  -1.347646e+00   4.381112e-02      1.237523e+00  -4.412217e-03  
  6.450000e-01  -1.342409e+00      3.781078e+00  -1.342409e+00   4.438452e-02      1.241527e+00  -4.467102e-03  
  6.440000e-01  -1.337173e+00      3.783278e+00  -1.337173e+00   4.496510e-02      1.245535e+00  -4.522618e-03  
  6.430000e-01  -1.331939e+00      3.785482e+00  -1.331939e+00   4.555293e-02      1.249547e+00  -4.578772e-03  
  6.420000e-01  -1.326707e+00      3.787688e+00  -1.326707e+00   4.614812e-02      1.253564e+00  -4.635573e-03  
  6.410000e-01  -1.321477e+00      3.789899e+00  -1.321477e+00   4.675076e-02      1.257586e+00  -4.693027e-03  
  6.400000e-01  -1.316249e+00      3.792112e+00  -1.316249e+00   4.736095e-02      1.261611e+00  -4.751142e-03  
  6.390000e-01  -1.311024e+00      3.794329e+00  -1.311024e+00   4.797880e-02      1.265642e+00  -4.809927e-03  
  6.380000e-01  -1.305801e+00      3.796549e+00  -1.305801e+00   4.860440e-02      1.269676e+00  -4.869390e-03  
  6.370000e-01  -1.300580e+00      3.798773e+00  -1.300580e+00   4.923785e-02      1.273715e+00  -4.929538e-03  
  6.360000e-01  -1.295361e+00      3.801000e+00  -1.295361e+00   4.987926e-02      1.277759e+00  -4.990380e-03  
  6.350000e-01  -1.290145e+00      3.803231e+00  -1.290145e+00   5.052874e-02      1.281807e+00  -5.051925e-03  
  6.340000e-01  -1.284932e+00      3.805465e+00  -1.284932e+00   5.118639e-02      1.285859e+00  -5.114180e-03  
  6.330000e-01  -1.279721e+00      3.807703e+00  -1.279721e+00   5.185232e-02      1.289916e+00  -5.177155e-03  
  6.320000e-01  -1.274513e+00      3.809944e+00  -1.274513e+00   5.252664e-02      1.293978e+00  -5.240858e-03  
  6.310000e-01  -1.269308e+00      3.812189e+00  -1.269308e+00   5.320946e-02      1.298045e+00  -5.305298e-03  
  6.300000e-01  -1.264106e+00      3.814437e+00  -1.264106e+00   5.390090e-02      1.302116e+00  -5.370484e-03  
  6.290000e-01  -1.258907e+00      3.816689e+00  -1.258907e+00   5.460108e-02      1.306191e+00  -5.436425e-03  
  6.280000e-01  -1.253711e+00      3.818945e+00  -1.253711e+00   5.531010e-02      1.310272e+00  -5.503131e-03  
  6.270000e-01  -1.248518e+00      3.821205e+00  -1.248518e+00   5.602809e-02      1.314357e+00  -5.570610e-03  
  6.260000e-01  -1.243328e+00      3.823468e+00  -1.243328e+00   5.675517e-02      1.318447e+00  -5.638873e-03  
  6.250000e-01  -1.238142e+00      3.825735e+00  -1.238142e+00   5.749146e-02      1.322542e+00  -5.707929e-03  
  6.240000e-01  -1.232959e+00      3.828005e+00  -1.232959e+00   5.823708e-02      1.326641e+00  -5.777788e-03  
  6.230000e-01  -1.227780e+00      3.830279e+00  -1.227780e+00   5.899216e-02      1.330745e+00  -5.848460e-03  
  6.220000e-01  -1.222604e+00      3.832558e+00  -1.222604e+00   5.975682e-02      1.334855e+00  -5.919954e-03  
  6.210000e-01  -1.217433e+00      3.834840e+00  -1.217433e+00   6.053120e-02      1.338969e+00  -5.992281e-03  
  6.200000e-01  -1.212265e+00      3.837126e+00  -1.212265e+00   6.131543e-02      1.343088e+00  -6.065452e-03  
  6.190000e-01  -1.207101e+00      3.839415e+00  -1.207101e+00   6.210964e-02      1.347212e+00  -6.139477e-03  
  6.180000e-01  -1.201940e+00      3.841709e+00  -1.201940e+00   6.291396e-02      1.351341e+00  -6.214366e-03  
  6.170000e-01  -1.196785e+00      3.844007e+00  -1.196785e+00   6.372853e-02      1.355475e+00  -6.290131e-03  
  6.160000e-01  -1.191633e+00      3.846308e+00  -1.191633e+00   6.455349e-02      1.359614e+00  -6.366783e-03  
  6.150000e-01  -1.186486e+00      3.848614e+00  -1.186486e+00   6.538898e-02      1.363758e+00  -6.444331e-03  
  6.140000e-01  -1.181343e+00      3.850924e+00  -1.181343e+00   6.623514e-02      1.367907e+00  -6.522789e-03  
  6.130000e-01  -1.176205e+00      3.853237e+00  -1.176205e+00   6.709212e-02      1.372062e+00  -6.602167e-03  
  6.120000e-01  -1.171071e+00      3.855555e+00  -1.171071e+00   6.796007e-02      1.376222e+00  -6.682477e-03  
  6.110000e-01  -1.165943e+00      3.857877e+00  -1.165943e+00   6.883912e-02      1.380386e+00  -6.763732e-03  
  6.100000e-01  -1.160819e+00      3.860203e+00  -1.160819e+00   6.972945e-02      1.384557e+00  -6.845941e-03  
  6.090000e-01  -1.155700e+00      3.862534e+00  -1.155700e+00   7.063118e-02      1.388732e+00  -6.929119e-03  
  6.080000e-01  -1.150587e+00      3.864868e+00  -1.150587e+00   7.154449e-02      1.392913e+00  -7.013277e-03  
  6.070000e-01  -1.145478e+00      3.867207e+00  -1.145478e+00   7.246953e-02      1.397099e+00  -7.098429e-03  
  6.060000e-01  -1.140375e+00      3.869550e+00  -1.140375e+00   7.340646e-02      1.401290e+00  -7.184585e-03  
  6.050000e-01  -1.135278e+00      3.871898e+00  -1.135278e+00   7.435543e-02      1.405487e+00  -7.271760e-03  
  6.040000e-01  -1.130186e+00      3.874249e+00  -1.130186e+00   7.531662e-02      1.409689e+00  -7.359967e-03  
  6.030000e-01  -1.125100e+00      3.876606e+00  -1.125100e+00   7.629019e-02      1.413897e+00  -7.449219e-03  
  6.020000e-01  -1.120020e+00      3.878966e+00  -1.120020e+00   7.727631e-02      1.418111e+00  -7.539529e-03  
  6.010000e-01  -1.114946e+00      3.881331e+00  -1.114946e+00   7.827515e-02      1.422330e+00  -7.630911e-03  
  6.000000e-01  -1.109879e+00      3.883701e+00  -1.109879e+00   7.928688e-02      1.426554e+00  -7.723379e-03  
  5.990000e-01  -1.104817e+00      3.886075e+00  -1.104817e+00   8.031168e-02      1.430784e+00  -7.816947e-03  
  5.980000e-01  -1.099762e+00      3.888454e+00  -1.099762e+00   8.134973e-02      1.435020e+00  -7.911630e-03  
  5.970000e-01  -1.094713e+00      3.890837e+00  -1.094713e+00   8.240120e-02      1.439262e+00  -8.007441e-03  
  5.960000e-01  -1.089672e+00      3.893225e+00  -1.089672e+00   8.346628e-02      1.443509e+00  -8.104397e-03  
  5.950000e-01  -1.084637e+00      3.895617e+00  -1.084637e+00   8.454515e-02      1.447763e+00  -8.202510e-03  
  5.940000e-01  -1.079609e+00      3.898015e+00  -1.079609e+00   8.563800e-02      1.452022e+00  -8.301798e-03  
  5.930000e-01  -1.074588e+00      3.900417e+00  -1.074588e+00   8.674503e-02      1.456287e+00  -8.402275e-03  
  5.920000e-01  -1.069575e+00      3.902824e+00  -1.069575e+00   8.786642e-02      1.460557e+00  -8.503956e-03  
  5.910000e-01  -1.064569e+00      3.905236e+00  -1.064569e+00   8.900237e-02      1.464834e+00  -8.606859e-03  
  5.900000e-01  -1.059570e+00      3.907652e+00  -1.059570e+00   9.015308e-02      1.469117e+00  -8.710999e-03  
  5.890000e-01  -1.054580e+00      3.910074e+00  -1.054580e+00   9.131874e-02      1.473406e+00  -8.816391e-03  
  5.880000e-01  -1.049597e+00      3.912501e+00  -1.049597e+00   9.249956e-02      1.477701e+00  -8.923054e-03  
  5.870000e-01  -1.044622e+00      3.914932e+00  -1.044622e+00   9.369575e-02      1.482002e+00  -9.031004e-03  
  5.860000e-01  -1.039656e+00      3.917369e+00  -1.039656e+00   9.490750e-02      1.486310e+00  -9.140257e-03  
  5.850000e-01  -1.034698e+00      3.919811e+00  -1.034698e+00   9.613505e-02      1.490623e+00  -9.250832e-03  
  5.840000e-01  -1.029748e+00      3.922257e+00  -1.029748e+00   9.737858e-02      1.494943e+00  -9.362746e-03  
  5.830000e-01  -1.024808e+00      3.924710e+00  -1.024808e+00   9.863833e-02      1.499270e+00  -9.476016e-03  
  5.820000e-01  -1.019876e+00      3.927167e+00  -1.019876e+00   9.991451e-02      1.503602e+00  -9.590662e-03  
  5.810000e-01  -1.014953e+00      3.929629e+00  -1.014953e+00   1.012073e-01      1.507941e+00  -9.706702e-03  
  5.800000e-01  -1.010040e+00      3.932097e+00  -1.010040e+00   1.025171e-01      1.512287e+00  -9.824154e-03  
  5.790000e-01  -1.005135e+00      3.934571e+00  -1.005135e+00   1.038439e-01      1.516639e+00  -9.943037e-03  
  5.780000e-01  -1.000241e+00      3.937050e+00  -1.000241e+00   1.051880e-01      1.520998e+00  -1.006337e-02  
  5.770000e-01  -9.953562e-01      3.939534e+00  -9.953562e-01   1.065497e-01      1.525363e+00  -1.018518e-02  
  5.760000e-01  -9.904815e-01      3.942024e+00  -9.904815e-01   1.079292e-01      1.529735e+00  -1.030847e-02  
  5.750000e-01  -9.856169e-01      3.944519e+00  -9.856169e-01   1.093267e-01      1.534114e+00  -1.043328e-02  
  5.740000e-01  -9.807626e-01      3.947020e+00  -9.807626e-01   1.107426e-01      1.538500e+00  -1.055961e-02  
  5.730000e-01  -9.759188e-01      3.949527e+00  -9.759188e-01   1.121769e-01      1.542892e+00  -1.068750e-02  
  5.720000e-01  -9.710857e-01      3.952039e+00  -9.710857e-01   1.136300e-01      1.547291e+00  -1.081696e-02  
  5.710000e-01  -9.662635e-01      3.954557e+00  -9.662635e-01   1.151021e-01      1.551697e+00  -1.094802e-02  
  5.700000e-01  -9.614524e-01      3.957081e+00  -9.614524e-01   1.165934e-01      1.556111e+00  -1.108069e-02  
  5.690000e-01  -9.566525e-01      3.959611e+00  -9.566525e-01   1.181043e-01      1.560531e+00  -1.121500e-02  
  5.680000e-01  -9.518642e-01      3.962147e+00  -9.518642e-01   1.196350e-01      1.564958e+00  -1.135097e-02  
  5.670000e-01  -9.470875e-01      3.964689e+00  -9.470875e-01   1.211856e-01      1.569393e+00  -1.148863e-02  
  5.660000e-01  -9.423227e-01      3.967237e+00  -9.423227e-01   1.227566e-01      1.573835e+00  -1.162799e-02  
  5.650000e-01  -9.375700e-01      3.969791e+00  -9.375700e-01   1.243481e-01      1.578284e+00  -1.176908e-02  
  5.640000e-01  -9.328295e-01      3.972351e+00  -9.328295e-01   1.259605e-01      1.582741e+00  -1.191193e-02  
  5.630000e-01  -9.281016e-01      3.974918e+00  -9.281016e-01   1.275939e-01      1.587205e+00  -1.205656e-02  
  5.620000e-01  -9.233863e-01      3.977490e+00  -9.233863e-01   1.292487e-01      1.591676e+00  -1.220299e-02  
  5.610000e-01  -9.186840e-01      3.980070e+00  -9.186840e-01   1.309252e-01      1.596155e+00  -1.235125e-02  
  5.600000e-01  -9.139948e-01      3.982655e+00  -9.139948e-01   1.326236e-01      1.600642e+00  -1.250136e-02  
  5.590000e-01  -9.093189e-01      3.985247e+00  -9.093189e-01   1.343441e-01      1.605136e+00  -1.265335e-02  
  5.580000e-01  -9.046566e-01      3.987846e+00  -9.046566e-01   1.360871e-01      1.609638e+00  -1.280725e-02  
  5.570000e-01  -9.000080e-01      3.990451e+00  -9.000080e-01   1.378529e-01      1.614148e+00  -1.296308e-02  
