eps (accuracy)
  1.000000e-06
hn (ini.step size)
  1.000000e-07
       A             xsi             g       
  4.000000e-03   1.000000e+00   9.810000e+00
       hc      
  4.222125e-01
      h[m]           x[m]         lambda_1[m/s]  lambda_2[m/s]  lambda_3[m/s]         U[m/s]          B[m]     
  9.500000e-01  -2.894676e+00      3.211868e+00  -2.894676e+00   5.216168e-05      1.586213e-01  -5.419297e-06  
  9.490000e-01  -2.889876e+00      3.213494e+00  -2.889876e+00   5.535801e-05      1.618362e-01  -5.762031e-06  
  9.480000e-01  -2.885074e+00      3.215122e+00  -2.885074e+00   5.869099e-05      1.650528e-01  -6.119431e-06  
  9.470000e-01  -2.880270e+00      3.216751e+00  -2.880270e+00   6.216386e-05      1.682711e-01  -6.491848e-06  
  9.460000e-01  -2.875463e+00      3.218381e+00  -2.875463e+00   6.577989e-05      1.714911e-01  -6.879632e-06  
  9.450000e-01  -2.870655e+00      3.220012e+00  -2.870655e+00   6.954237e-05      1.747128e-01  -7.283138e-06  
  9.440000e-01  -2.865844e+00      3.221645e+00  -2.865844e+00   7.345462e-05      1.779363e-01  -7.702724e-06  
  9.430000e-01  -2.861032e+00      3.223279e+00  -2.861032e+00   7.752000e-05      1.811615e-01  -8.138750e-06  
  9.420000e-01  -2.856217e+00      3.224914e+00  -2.856217e+00   8.174186e-05      1.843885e-01  -8.591580e-06  
  9.410000e-01  -2.851401e+00      3.226550e+00  -2.851401e+00   8.612362e-05      1.876171e-01  -9.061578e-06  
  9.400000e-01  -2.846582e+00      3.228188e+00  -2.846582e+00   9.066870e-05      1.908476e-01  -9.549115e-06  
  9.390000e-01  -2.841761e+00      3.229826e+00  -2.841761e+00   9.538055e-05      1.940798e-01  -1.005456e-05  
  9.380000e-01  -2.836938e+00      3.231467e+00  -2.836938e+00   1.002627e-04      1.973137e-01  -1.057829e-05  
  9.370000e-01  -2.832113e+00      3.233108e+00  -2.832113e+00   1.053185e-04      2.005494e-01  -1.112069e-05  
  9.360000e-01  -2.827286e+00      3.234751e+00  -2.827286e+00   1.105517e-04      2.037868e-01  -1.168212e-05  
  9.350000e-01  -2.822457e+00      3.236394e+00  -2.822457e+00   1.159658e-04      2.070260e-01  -1.226298e-05  
