#REFDATE 2006-10-01 00:00:00
#     Time        WW       Cap      Tair      Patm      Hrel      Nebu    Pr?ip.
     T         WINDS     WINDD      TAIR      PATM      HREL      CLDC    RAINC
      sec       m/s         ?        ?C      mbar         %      octa m3/s/m2*e-8
   9579600      5.5        330     14.8    1022.5         66         0 0.000E+00
   9590400      7.3        280     12.8    1021.2         75         1 0.000E+00
   9601200      6.8        310        12   1019.6         78         1 0.000E+00
   9612000      1.7        270     10.6    1019.8         81         4 0.000E+00
   9622800      0.8        210     12.3    1019.7         78         6 0.000E+00
   9633600         1       280     16.5    1019.2         62         7 0.000E+00
   9644400      4.9        280     17.6    1017.7         57         4 0.000E+00
   9655200      3.6        280     12.4    1017.6         78         4 0.000E+00
   9666000      2.1        200        11   1018.3         79         3 0.000E+00
   9676800      0.9        190      9.3       1018        81         4 0.000E+00
   9687600      3.1        290      7.9    1017.7         87         4 0.000E+00
   9698400      2.8        320         7   1017.8         90         7 0.000E+00
   9709200      1.3        340      8.8    1018.2         87         7 0.000E+00
   9720000      5.3        280     13.4    1017.3         71         7 0.000E+00
   9730800      7.6        330     14.6    1015.3         51         7 2.160E-01
   9741600      5.2        320        11   1015.2         60         7 4.309E-01
   9752400      6.4        330      9.9    1014.5         55         6 6.469E-01
   9763200      4.9        340         9   1013.1         59         6 8.629E-01
   9774000      0.9        360      6.5    1011.4         67         6 1.078E+00
   9784800      1.8        150      6.1    1009.6         73         7 1.294E+00
   9795600         0         0      7.9       1009        73         8 1.510E+00
   9806400         0         0     10.8    1007.3         59         8 1.725E+00
   9817200         6       150     13.6    1004.3         66         8 1.510E+00
   9828000         6       110     12.6    1002.8         65         8 1.294E+00
   9838800         5       120     13.2    1000.4         59         8 1.078E+00
   9849600         7       160     11.9     998.7         85         8 8.629E-01
   9860400         7       170     13.5     996.5         82         8 6.469E-01
   9871200         5       240      9.4     996.1         90         8 4.309E-01
   9882000         4       260      7.7     996.2         84         8 2.160E-01
   9892800         8       280      7.5     995.4         65         8 0.000E+00
   9903600         8       280      8.3     995.4         63         7 0.000E+00
   9914400        10       280      6.8     995.4         63         7 0.000E+00
   9925200        11       290      3.5     996.7         61         7 0.000E+00
   9936000        12       300      3.4     997.7         61         7 0.000E+00
   9946800        11       310      1.2     997.7         78         7 0.000E+00
   9957600        14       320      0.9        998        63         7 0.000E+00
   9968400        18       320      1.7     997.8         56         4 0.000E+00
   9979200        19       320      2.9     997.9         52         5 0.000E+00
   9990000        14       330         3    998.9         51         6 0.000E+00
  10000800        14       320      1.2    1000.1         56         1 0.000E+00
  10011600        13       330      0.6    1001.2         56         0 0.000E+00
  10022400        11       320     -0.4    1001.3         58         0 0.000E+00
  10033200         8       320        -1   1001.3         62         0 0.000E+00
  10044000         2        60     -3.1    1001.7         67         0 0.000E+00
  10054800      3.9         10     -1.2    1004.4         62         7 0.000E+00
  10065600      3.9        310      4.8    1004.8         46         6 0.000E+00
  10076400      3.1        310      6.6    1005.8         48         7 0.000E+00
  10087200      4.6         10      1.6    1008.4         60         5 0.000E+00
  10098000      3.2        360     -1.3    1010.8         71         1 0.000E+00
  10108800      2.3        140     -2.6    1011.6         79         1 0.000E+00
  10119600      1.7        140     -2.1    1011.5         81         8 0.000E+00
  10130400      2.3         10     -0.9    1012.1         80         7 0.000E+00
  10141200         1       350         1   1013.9         71         5 0.000E+00
  10152000         4       330      5.7    1014.1         56         7 0.000E+00
  10162800         7       330      6.2    1013.2         49         2 0.000E+00
  10173600         6       330      0.9    1014.7         57         0 0.000E+00
  10184400         9       340     -0.2    1016.2         59         0 0.000E+00
  10195200         7       340     -2.3    1017.4         66         0 0.000E+00
  10206000         4        10     -1.8    1018.6         61         0 0.000E+00
  10216800         4       350     -2.4    1018.9         63         0 0.000E+00
  10227600      2.8        360      0.3    1020.4         52         1 0.000E+00
  10238400      5.7        350      6.5    1020.4         36         1 0.000E+00
  10249200      7.7        330      8.4    1019.7         45         1 0.000E+00
  10260000      6.3        360      3.4    1021.2         64         1 0.000E+00
  10270800      2.6        360     -0.3    1023.5         76         0 0.000E+00
  10281600      1.2        210     -0.7    1024.9         77         0 0.000E+00
  10292400      5.8         10      0.3    1024.4         74         0 0.000E+00
  10303200      2.3        140     -2.4    1025.2         82         0 0.000E+00
  10314000      1.8        160      2.5    1026.7         67         0 0.000E+00
  10324800      0.8        260      9.3    1025.5         50         0 0.000E+00
  10335600      4.4        290     11.1    1023.6         54         0 0.000E+00
  10346400      3.6        330      4.9    1023.6         66         2 0.000E+00
  10357200      1.7        150      1.4    1022.5         80         3 0.000E+00
  10368000      1.4        150     -1.3    1021.3         86         3 0.000E+00
  10378800         2        40     -2.7    1019.4         89         3 0.000E+00
  10389600      2.3        120     -2.6    1017.5         89         1 0.000E+00
  10400400      1.6        160      1.2    1017.6         81         1 0.000E+00
  10411200      8.2        340      8.5    1016.1         51         1 0.000E+00
  10422000      5.8        330      9.1    1014.6         54         1 0.000E+00
  10432800      0.6         40      4.1       1015        71         0 0.000E+00
  10443600      0.7        210      1.3    1015.9         80         0 0.000E+00
  10454400      1.2        130     -0.8    1016.1         85         0 0.000E+00
  10465200         0         0     -1.2    1016.1         89         0 0.000E+00
  10476000      2.2        140     -0.4    1016.9         91         1 0.000E+00
  10486800         0         0         4   1018.3         90         7 0.000E+00
  10497600      1.5        270      8.2    1018.3         72         7 0.000E+00
  10508400         0         0     12.7       1017        56         3 0.000E+00
  10519200         0         0      7.7    1017.7         73         4 0.000E+00
  10530000      0.5        140         5   1018.7         84         5 0.000E+00
  10540800         0         0      3.7       1019        88         4 0.000E+00
  10551600      1.4         10         4   1018.4         90         8 0.000E+00
  10562400      1.3        230      3.7    1018.7         89         3 0.000E+00
  10573200      1.8        260      8.8    1019.5         80         4 0.000E+00
  10584000      3.1        280     11.2    1018.9         65         7 0.000E+00
  10594800      1.9        290        12      1018        62         8 0.000E+00
  10605600      1.8        320     10.2    1018.3         66         7 0.000E+00
  10616400         3       290      7.6    1018.9         72         7 0.000E+00
  10627200      2.1        140         5   1018.4         82         2 0.000E+00
  10638000      2.2        340      2.3    1018.3         86         2 0.000E+00
  10648800      3.5        350      1.8    1018.4         85         2 0.000E+00
  10659600      1.4        350      3.5    1018.8         78         0 0.000E+00
  10670400      4.2        340        10   1018.1         52         0 0.000E+00
  10681200      4.2        330     11.4    1017.2         50         1 0.000E+00
  10692000      5.1        310      6.6    1018.2         68         2 0.000E+00
  10702800      2.2        150      2.6    1019.6         79         2 0.000E+00
  10713600      0.6         90      0.9    1020.7         86         1 0.000E+00
  10724400      1.1        110      0.2    1021.4         88         1 0.000E+00
  10735200      1.7        160     -0.3    1022.2         90         3 0.000E+00
  10746000         1       200      6.1    1024.4         71         1 0.000E+00
  10756800      0.8        280     11.2       1024        57         1 0.000E+00
  10767600      1.6        240     14.7    1023.4         55         1 0.000E+00
  10778400      2.5        360      9.3    1024.3         80         3 0.000E+00
  10789200      0.7        140      9.7    1024.3         84         7 0.000E+00
  10800000      2.1        160      4.9    1023.7         86         1 0.000E+00
  10810800         3       150      4.1    1023.1         90         1 0.000E+00
  10821600      2.4        150      1.6    1022.3         91         1 0.000E+00
  10832400         1       310         4   1022.1         92         3 0.000E+00
  10843200      1.6        270      9.8    1020.5         68         3 0.000E+00
  10854000      0.9        270     13.3    1018.5         52         6 0.000E+00
  10864800      1.1        230      7.1    1018.1         71         3 0.000E+00
  10875600      0.9         10         4   1018.2         82         2 0.000E+00
  10886400      1.3         20      2.1    1017.8         88         1 0.000E+00
  10897200         0         0      0.9    1017.8         91         1 0.000E+00
  10908000      0.6        160      3.1    1019.9         94         1 0.000E+00
  10918800      1.2        240      7.6       1022        86         0 0.000E+00
  10929600         3       270     14.3    1022.3         66         2 0.000E+00
  10940400      3.5        290     14.3    1021.7         65         1 5.940E-02
  10951200      2.9         20      9.8    1022.3         77         1 1.188E-01
  10962000      1.9        150      5.5    1022.7         86         0 1.782E-01
  10972800      0.7        180      3.5       1022        90         0 2.376E-01
  10983600      1.9        250      3.2    1021.5         92         0 2.970E-01
  10994400      1.2        170      1.4    1020.5         92         0 3.564E-01
  11005200      1.1        290      5.6    1020.1         94         2 4.158E-01
  11016000         1       310     12.3       1018        67         1 4.752E-01
  11026800      1.9        290        14   1015.2         61         1 4.158E-01
  11037600      2.2        180     12.1    1013.9         76         7 3.564E-01
  11048400      1.3         30     11.1    1012.3         82         7 2.970E-01
  11059200      1.7         30      9.5       1010        84         7 2.376E-01
  11070000      2.9         10         9   1007.2         91         8 1.782E-01
  11080800      0.6         20      8.4    1005.2         91         7 1.188E-01
  11091600         1       230      8.8    1005.1         93         9 5.940E-02
  11102400      1.5        270        11   1003.6         84         7 0.000E+00
  11113200      5.3        290     12.2    1001.7         68         5 6.480E-03
  11124000      0.7        290      9.9    1001.5         78         5 1.296E-02
  11134800      2.4        280      8.3    1001.7         81         1 1.836E-02
  11145600      1.7        160      5.6    1001.6         87         1 2.484E-02
  11156400      1.5         90      4.1    1000.7         89         1 3.132E-02
  11167200      0.5        120      2.8    1000.2         92         2 3.780E-02
  11178000      2.1        260      5.8    1001.2         91         7 4.428E-02
  11188800      4.6        100     10.1     999.6         76         7 4.968E-02
  11199600      1.3        240     12.7     999.9         69         7 7.452E-02
  11210400      3.2        210     11.8    1000.7         74         7 1.004E-01
  11221200      6.5        290      9.9    1001.8         71         7 1.253E-01
  11232000         0         0      6.2    1001.9         83         7 1.501E-01
  11242800      1.8         70      5.5    1001.5         88         7 1.750E-01
  11253600      4.2        100         7    999.9         78         7 1.998E-01
  11264400         3       100        10   1001.1         71         8 2.246E-01
  11275200      4.3         70     13.7     999.9         63         8 2.495E-01
  11286000      1.9        330     12.6    1000.4         73         8 2.192E-01
  11296800      1.1        260      9.5    1001.7         87         8 1.879E-01
  11307600      1.3        190      8.8       1002        91         7 1.566E-01
  11318400      1.3         40      8.2    1001.5         92         7 1.253E-01
  11329200      1.1        230      7.4     999.5         94         8 9.396E-02
  11340000      1.3        360      6.4     999.1         94         8 6.264E-02
  11350800      1.3        270         6   1000.7         94         9 3.132E-02
  11361600      1.5        270     11.3    1001.8         76         2 0.000E+00
  11372400      5.1        300     12.8       1003        66         6 9.720E-03
  11383200      3.9        280      9.2    1006.1         78         2 1.836E-02
  11394000      2.3        350      6.4    1007.6         79         4 2.808E-02
  11404800         1       350      4.7    1006.1         87         2 3.780E-02
  11415600      1.6         90      3.3    1005.3         88         2 4.644E-02
  11426400      1.6        270      5.2    1004.5         85         7 5.616E-02
  11437200      2.7        140      6.7    1005.9         87         8 6.588E-02
  11448000         1       300      8.5    1006.7         82         6 7.452E-02
  11458800      2.1        300        13   1006.4         65         3 7.776E-02
  11469600      4.4        330      9.6    1008.7         75         2 8.100E-02
  11480400      1.4        150      6.7       1010        84         1 8.424E-02
  11491200      2.2        270      4.4    1010.8         90         2 8.748E-02
  11502000      2.4        130      4.3    1010.7         91         2 9.072E-02
  11512800      1.4         80      3.5    1011.8         92         7 9.396E-02
  11523600      2.1        150      7.3    1012.2         94         8 9.720E-02
  11534400      1.6         30     12.1    1011.6         82         7 1.004E-01
  11545200      0.5         40     13.6    1010.6         75         7 2.214E-01
  11556000      3.3        140     11.5    1010.5         82         7 3.434E-01
  11566800      2.4        140     11.6    1009.5         84         8 4.655E-01
  11577600      3.3         90     12.4    1007.1         75         7 5.875E-01
  11588400      0.6         70        12   1004.8         71         6 7.096E-01
  11599200      1.6         70        11   1003.5         71         7 8.316E-01
  11610000      1.3        120     12.9    1002.4         61         7 9.536E-01
  11620800         6       280        11   1004.3         89         8 1.075E+00
  11631600      6.9        280      9.7    1004.4         90         7 9.407E-01
  11642400         6       290         9   1005.5         83         2 8.068E-01
  11653200     11.8        290      9.1    1008.1         71         3 6.718E-01
  11664000      3.4        330      7.6    1009.9         71         5 5.378E-01
  11674800      7.5        290      6.7    1010.8         77         5 4.028E-01
  11685600      7.4        300      6.1       1012        77         0 2.689E-01
  11696400      7.1        290      9.2       1014        64         3 1.339E-01
  11707200      7.6        330     13.2    1014.2         41         2 0.000E+00
  11718000      6.8        310     13.8    1012.5         45         2 9.720E-02
  11728800      3.4        310     10.2    1012.7         56         3 1.933E-01
  11739600         1        10      6.3    1012.6         76         1 2.905E-01
  11750400      1.4        100      3.7    1012.2         83         1 3.877E-01
  11761200      2.1         30      4.4    1009.6         83         1 4.838E-01
  11772000      1.6        140      6.4    1008.5         65         5 5.810E-01
  11782800      4.1        120        12   1008.1         71         7 6.782E-01
  11793600      7.7        140        15   1006.5         71         7 7.754E-01
  11804400      6.6        130     15.3    1004.6         71         8 6.782E-01
  11815200      4.2        320     11.9       1007        84         8 5.810E-01
  11826000      4.8        300        10      1009        86         7 4.838E-01
  11836800      9.8        310     10.5       1009        69         7 3.877E-01
  11847600     13.6        330      9.5    1008.9         73         7 2.905E-01
  11858400     15.4        330      9.8    1009.3         69         2 1.933E-01
  11869200      9.2        340     10.3    1011.7         63         1 9.720E-02
  11880000      7.2        330     14.5    1012.6         52         0 0.000E+00
  11890800      4.2        340     16.1    1012.5         50         0 0.000E+00
  11901600         3       350     10.8       1014        70         0 0.000E+00
  11912400      1.2        190      6.7    1015.4         86         0 0.000E+00
  11923200         0         0      5.8    1015.4         87         0 0.000E+00
  11934000      2.2        120      4.1    1015.2         90         0 0.000E+00
  11944800      1.9        120      3.8    1015.1         92         0 0.000E+00
  11955600      1.7        260      8.8    1015.3         81         0 0.000E+00
  11966400      0.7        320     14.9    1014.6         59         2 0.000E+00
  11977200      4.7        190     17.1    1012.9         46         2 2.160E-02
  11988000      5.4        150     13.2    1012.4         51         2 4.428E-02
  11998800      2.6        120        12   1013.3         72         1 6.588E-02
  12009600      1.4        130     11.1    1013.5         66         5 8.748E-02
  12020400      2.6        150     12.3    1013.1         65         5 1.091E-01
  12031200      0.5         60      8.2       1013        81         6 1.318E-01
  12042000      6.2        100     13.8    1012.9         53         7 1.534E-01
  12052800      4.4        100     15.4    1012.1         49         7 1.750E-01
  12063600         6       120     14.8    1010.8         48         8 1.534E-01
  12074400      9.6        110     13.5    1009.7         47         7 1.318E-01
  12085200     11.6         90     13.5    1008.5         43         7 1.091E-01
  12096000     12.3        100        12      1008        64         8 8.748E-02
  12106800     13.6        100     10.8    1007.2         67         7 6.588E-02
  12117600     14.1        110     10.4    1007.7         66         7 4.428E-02
  12128400     12.2        100        11   1010.1         58         7 2.160E-02
  12139200      9.1        100     13.2       1011        52         7 0.000E+00
  12150000      5.2         60        12   1011.3         60         7 0.000E+00
  12160800         3       360     10.3    1012.9         78         7 0.000E+00
  12171600      1.1         70     10.2    1013.4         70         7 0.000E+00
  12182400      0.9        210      9.4    1013.2         83         7 0.000E+00
  12193200      1.1        120      7.7    1011.1         85         7 0.000E+00
  12204000      0.6         80      5.4    1010.2         92         1 0.000E+00
  12214800      0.6        270      8.4    1010.1         87         1 0.000E+00
  12225600      2.5        270        12   1008.5         72         1 0.000E+00
  12236400      4.6        190     14.1    1006.9         65         2 0.000E+00
  12247200      3.4        180        12      1008        75         7 0.000E+00
  12258000      1.2         40      9.2    1008.9         83         2 0.000E+00
  12268800         0         0      8.5    1008.1         82         0 0.000E+00
  12279600      1.9        130      5.5    1007.8         89         0 0.000E+00
  12290400      1.9        130      4.7    1007.6         92         1 0.000E+00
  12301200         1       310      8.6    1008.8         86         0 0.000E+00
  12312000         3       260     13.2    1008.4         69         1 0.000E+00
  12322800         2       290     14.5    1007.6         53         0 0.000E+00
  12333600         2       260     10.5    1008.6         73         0 0.000E+00
  12344400         0         0      6.8    1010.1         87         0 0.000E+00
  12355200         1       180      8.3       1011        85         7 0.000E+00
  12366000         1       260      8.6    1010.6         86         7 0.000E+00
  12376800         1       280         8      1011        87         7 0.000E+00
  12387600      1.8        180      9.9    1012.3         80         7 0.000E+00
  12398400      1.7        260     14.5    1011.8         56         6 0.000E+00
  12409200      1.8        270     15.1    1010.9         46         7 0.000E+00
  12420000      2.3        150     13.4       1011        67         7 0.000E+00
  12430800      2.6        260     11.8       1012        82         4 0.000E+00
  12441600      0.6         30        10   1011.5         83         4 0.000E+00
  12452400         2       140      7.7    1010.4         89         4 0.000E+00
  12463200      1.6         50      8.2    1010.2         89         3 0.000E+00
  12474000         2       270        11   1010.8         85         3 0.000E+00
  12484800         3       250     16.4    1010.6         56         6 0.000E+00
  12495600         5       210     14.5       1010        70         7 0.000E+00
  12506400         3       140     11.9    1010.5         81         2 0.000E+00
  12517200         3       120      9.6    1010.7         90         4 0.000E+00
  12528000         1       340      8.4    1010.6         92         4 0.000E+00
  12538800         3       130      7.8       1010        91         6 0.000E+00
  12549600         1        60      7.1    1009.7         92         5 0.000E+00
  12560400      2.2        310      9.8       1010        87         6 0.000E+00
  12571200      2.6        300     14.1    1009.6         67         3 0.000E+00
  12582000      3.3        280     15.6    1008.4         59         2 3.240E-03
  12592800      3.5        150     12.3    1008.9         81         1 6.480E-03
  12603600      1.3        150      9.2    1010.6         91         3 9.720E-03
  12614400      1.4        100      9.5    1009.8         92         2 1.296E-02
  12625200      1.3        120      8.1    1009.4         91         6 1.512E-02
  12636000      2.6        160      8.7    1010.1         93         7 1.836E-02
  12646800      1.7         30     11.6    1010.3         88         7 2.160E-02
  12657600      5.6        260     14.8    1010.5         71         7 2.484E-02
  12668400      2.2        280     14.4    1009.6         72         7 1.058E-01
  12679200      4.8        290     13.2    1010.1         79         7 1.879E-01
  12690000      4.3        290     13.4    1010.9         79         7 2.689E-01
  12700800      3.6        300     12.4    1010.4         85         7 3.499E-01
  12711600      1.8         70     11.4    1009.5         89         6 4.309E-01
  12722400      1.5        100     10.9    1008.2         91         7 5.130E-01
  12733200      0.9        180     12.2    1008.9         93         8 5.940E-01
  12744000         3       260     11.5    1008.3         83         8 6.750E-01
  12754800      8.6        280     12.2    1006.3         73         7 5.908E-01
  12765600      7.1        270     11.4    1007.2         74         7 5.065E-01
  12776400     11.1        290        11   1008.4         71         3 4.223E-01
  12787200     13.7        300      9.9    1007.8         76         2 3.380E-01
  12798000      7.5        310      8.5    1008.9         80         2 2.527E-01
  12808800         7       320      7.5    1009.9         79         1 1.685E-01
  12819600      9.7        310     11.5    1011.7         60         1 8.424E-02
  12830400        11       330     14.8    1011.5         50         5 0.000E+00
  12841200     14.2        340     14.6    1010.7         40         6 0.000E+00
  12852000     10.4        340     12.2    1012.2         54         4 0.000E+00
  12862800      7.3        330     10.2    1014.2         61         0 0.000E+00
  12873600      7.2        300     10.3       1016        64         5 0.000E+00
  12884400     12.2        340      9.2    1015.3         69         6 0.000E+00
  12895200        11       330      8.5    1015.9         71         1 0.000E+00
  12906000     14.9        340     11.3    1016.4         57         1 0.000E+00
  12916800     13.3        330     14.3    1016.4         45         2 0.000E+00
  12927600      7.3        340        16   1015.5         47         3 0.000E+00
  12938400      3.1        300     12.7    1015.3         58         5 0.000E+00
  12949200      4.9        310     10.5    1014.8         70         2 0.000E+00
  12960000      1.4        130      7.7    1014.2         78         2 0.000E+00
  12970800      0.9         30      7.1    1012.5         85         2 0.000E+00
  12981600         1       180      7.2    1011.3         91         7 0.000E+00
  12992400         0         0     10.2    1012.4         88         7 0.000E+00
  13003200      0.5        280     13.7    1011.7         75         7 0.000E+00
  13014000      6.4        300     17.7    1009.6         58         3 0.000E+00
  13024800      7.9        280     15.3    1010.2         58         3 0.000E+00
  13035600         9       300     12.8       1011        68         3 0.000E+00
  13046400      6.5        310     11.4    1011.3         68         3 0.000E+00
  13057200      5.5        340        10      1010        73         3 0.000E+00
  13068000      1.3         30      7.9    1010.2         83         3 0.000E+00
  13078800      6.8        310     12.1    1010.6         74         6 0.000E+00
  13089600         7       270     14.8       1010        62         7 0.000E+00
  13100400      3.5        230     15.3    1008.6         71         6 0.000E+00
  13111200      1.5        280     13.7       1009        79         6 0.000E+00
  13122000         2       310     13.3    1009.2         71         5 0.000E+00
  13132800      5.1        250     13.6    1008.9         74         5 0.000E+00
  13143600      4.4        250        14   1007.9         66         7 0.000E+00
  13154400      3.8        270     14.1    1007.6         67         7 0.000E+00
  13165200      7.4        270        16   1009.1         67         7 0.000E+00
  13176000      8.3        300     18.4    1009.7         65         6 0.000E+00
  13186800      6.2        300     18.9       1009        60         3 0.000E+00
  13197600      6.3        280        16   1010.2         67         1 0.000E+00
  13208400      2.6        310     13.2    1011.6         80         0 0.000E+00
  13219200      1.7        140        12      1012        87         4 0.000E+00
  13230000      2.9        100     12.8    1010.5         84         6 0.000E+00
  13240800      2.7        110     11.1    1011.2         89         7 0.000E+00
  13251600      2.2        190     15.8    1011.6         71         7 0.000E+00
  13262400      6.6        280     17.6    1012.2         69         7 0.000E+00
  13273200      4.5        280     17.9    1011.9         66         7 0.000E+00
  13284000      4.6        280     15.9       1013        69         7 0.000E+00
  13294800      0.9        230     13.8    1014.6         81         7 0.000E+00
  13305600      1.7        300     11.4    1014.9         84         0 0.000E+00
  13316400         0         0      8.5    1014.3         91         0 0.000E+00
  13327200      2.7        110      7.6    1014.8         90         4 0.000E+00
  13338000      0.7        310     14.6    1015.5         62         3 0.000E+00
  13348800      1.2        300     18.7    1015.2         42         6 0.000E+00
  13359600         3       150     21.9    1013.4         40         4 0.000E+00
  13370400      2.6        150     15.9    1013.7         70         6 0.000E+00
  13381200      5.3        120     14.4    1013.6         74         5 0.000E+00
  13392000      5.9        100        15   1013.7         60         3 0.000E+00
  13402800      3.7         70     12.9    1013.4         81         3 0.000E+00
  13413600      1.7        120     12.1    1016.8         85         7 0.000E+00
  13424400      3.2        300     14.2       1019        77         7 0.000E+00
  13435200      6.9        340     16.1    1018.3         57         7 0.000E+00
  13446000      5.8        320     16.9       1017        52         7 1.836E-02
  13456800      3.6        330        14      1018        57         6 3.780E-02
  13467600      3.6        120     10.8    1018.3         73         0 5.616E-02
  13478400      2.1        110         9   1018.8         77         2 7.452E-02
  13489200      3.3        100     10.1    1017.7         87         7 9.396E-02
  13500000      1.2        130      9.8    1017.4         87         5 1.123E-01
  13510800      2.6        110     14.4    1017.9         82         6 1.318E-01
  13521600      4.8        170     15.5    1016.2         77         8 1.501E-01
  13532400         8       150     15.6    1013.4         74         7 1.404E-01
  13543200      5.2        140     14.3    1011.8         76         8 1.318E-01
  13554000         7       140     13.9       1011        79         8 1.220E-01
  13564800      3.3        170     13.7    1009.9         85         8 1.123E-01
  13575600         1       270     11.9    1007.8         86         8 1.026E-01
  13586400         1       130     10.2    1007.5         93         3 9.396E-02
  13597200         2       240     12.5    1005.9         76         2 8.424E-02
  13608000         2       310     14.7    1003.5         57         7 7.452E-02
  13618800         4       140     14.8    1001.1         54         7 6.588E-02
  13629600         5       120     13.1     999.8         68         8 5.616E-02
  13640400         3        80     12.1    1000.1         73         8 4.644E-02
  13651200         1       140     11.3    1001.7         81         8 3.780E-02
  13662000         2        10     10.4    1003.8         85         7 2.808E-02
  13672800         4       340      9.8    1005.9         84         6 1.836E-02
  13683600      6.8        330     12.3    1008.3         75         8 9.720E-03
  13694400      8.8        330     15.9    1009.8         62         7 0.000E+00
  13705200     13.8        340     15.3    1011.2         59         7 0.000E+00
  13716000     11.3        340     13.2    1013.6         54         6 0.000E+00
  13726800      8.4        340     12.5    1016.9         52         2 0.000E+00
  13737600         8       340     11.3    1018.6         55         0 0.000E+00
  13748400      2.2        360      8.7       1019        64         0 0.000E+00
  13759200      3.2        330      7.7    1020.1         67         1 0.000E+00
  13770000      2.9        340     12.7    1021.2         53         2 0.000E+00
  13780800      5.3        300        17   1020.7         42         4 0.000E+00
  13791600     10.4        320     15.4    1019.1         44         7 0.000E+00
  13802400     11.4        330     13.6    1019.3         41         7 0.000E+00
  13813200     11.7        330     13.2    1020.1         52         7 0.000E+00
  13824000     15.3        330     10.7    1017.4         61         5 0.000E+00
  13834800     14.7        340     10.5    1016.5         53         5 0.000E+00
  13845600     11.1        340      8.5       1019        58         7 0.000E+00
  13856400      8.2        330     10.8    1020.5         54         3 0.000E+00
  13867200        10       330     14.6    1019.9         45         3 0.000E+00
  13878000     10.1        340     16.4    1018.6         35         2 0.000E+00
  13888800      7.9        350     13.2    1020.2         40         2 0.000E+00
  13899600      2.5        360      9.9    1022.9         43         0 0.000E+00
  13910400      4.2        350      8.4       1024        50         0 0.000E+00
  13921200      2.4         20      7.3    1022.9         50         0 0.000E+00
  13932000      4.7        340      5.9    1022.9         60         0 0.000E+00
  13942800         4       330      9.5    1022.3         53         4 0.000E+00
  13953600         3       300        14   1022.3         43         3 0.000E+00
  13964400         2       210     14.4    1022.2         47         7 0.000E+00
  13975200         3        30     11.4    1023.6         56         2 0.000E+00
  13986000         2       130      7.7    1023.8         71         6 0.000E+00
  13996800         1       120      8.5    1023.2         71         7 0.000E+00
  14007600         2       110      6.6    1021.7         78         7 0.000E+00
  14018400         1       140      6.4    1021.3         80         4 0.000E+00
  14029200      1.5        300      9.7    1021.7         70         6 0.000E+00
  14040000      1.3        290     15.6       1021        38         3 0.000E+00
  14050800      4.7        200     16.7    1020.1         40         3 0.000E+00
  14061600      2.2        150     13.1    1021.3         61         1 0.000E+00
  14072400      2.6        110      9.4    1022.1         74         0 0.000E+00
  14083200      3.5        120      7.9    1021.7         74         0 0.000E+00
  14094000      2.4        120      5.9    1021.2         76         0 0.000E+00
  14104800      2.1        110      6.4       1022        69         0 0.000E+00
  14115600      1.3        310     11.1    1022.9         66         0 0.000E+00
  14126400      2.6        320     16.3    1022.7         40         0 0.000E+00
  14137200      3.8        270     19.3    1021.2         38         0 0.000E+00
  14148000      2.1        220     14.7    1021.6         66         0 0.000E+00
  14158800      2.3        130     12.1    1021.8         72         0 0.000E+00
  14169600      2.5        110      8.4    1021.5         85         1 0.000E+00
  14180400      3.3        120      6.4    1021.2         90         1 0.000E+00
  14191200      0.6        150      4.9    1021.5         91         1 0.000E+00
  14202000      1.3        240     12.8       1023        67         1 0.000E+00
  14212800      2.2        280     18.6    1022.6         41         4 0.000E+00
  14223600      2.6        230     20.9    1021.5         40         2 0.000E+00
  14234400      1.4        190     16.4       1022        46         3 0.000E+00
  14245200         0         0        11   1022.7         75         3 0.000E+00
  14256000      2.4        110      8.6    1022.1         84         1 0.000E+00
  14266800      1.7        130      7.2    1021.2         90         1 0.000E+00
  14277600         2       120      5.8    1021.6         91         0 0.000E+00
  14288400      1.2        330     12.9    1022.3         70         0 0.000E+00
  14299200      2.8        250        20   1021.3         42         0 0.000E+00
  14310000      4.6        180     20.2    1019.7         36         2 0.000E+00
  14320800      2.9        200     13.5    1020.2         85         3 0.000E+00
  14331600      0.9        120     10.9    1020.4         89         3 0.000E+00
  14342400         2       120      9.2    1020.2         91         3 0.000E+00
  14353200      1.3        120      6.9       1019        92         3 0.000E+00
  14364000      1.8        130      6.5    1019.2         94         1 0.000E+00
  14374800      1.3        320     11.5    1019.8         84         0 0.000E+00
  14385600      1.7        260     16.8    1018.9         57         0 0.000E+00
  14396400      3.2        200     18.5    1017.7         46         0 0.000E+00
  14407200         0         0     14.3    1018.1         64         0 0.000E+00
  14418000      2.7        100     11.9    1019.2         80         0 0.000E+00
  14428800      2.8        120         9   1019.4         87         0 0.000E+00
  14439600      2.8        110      7.3    1018.5         91         0 0.000E+00
  14450400      2.1        130      5.9       1019        92         1 0.000E+00
  14461200      2.5        300     11.7    1019.6         70         1 0.000E+00
  14472000      6.1        320     17.8    1018.5         48         1 0.000E+00
  14482800      9.1        330     18.1    1016.8         37         1 9.720E-03
  14493600      8.9        330     14.7    1016.7         44         1 1.836E-02
  14504400      5.9        310        13   1017.2         53         3 2.808E-02
  14515200      6.8        320     11.7       1017        62         2 3.780E-02
  14526000      6.5        320     10.2    1015.8         70         2 4.644E-02
  14536800      5.6        310      9.5    1015.2         72         2 5.616E-02
  14547600      7.5        320     13.2    1014.9         61         1 6.588E-02
